x,y,z
-0.436523438,-0.00390625,0.934814453
-0.429931641,-0.006835938,0.942138672
-0.433105469,-0.005126953,0.937744141
-0.430664063,-0.004638672,0.938964844
-0.429443359,0,0.940429688
-0.430664063,-0.006347656,0.937988281
-0.4296875,-0.002685547,0.938476563
-0.430419922,-0.00390625,0.935546875
-0.431640625,-0.002685547,0.937255859
-0.429931641,-0.005371094,0.940917969
-0.431884766,-0.005859375,0.937744141
-0.433837891,0.001220703,0.937011719
-0.432128906,-0.000976563,0.939208984
-0.432617188,-0.002929688,0.939208984
-0.429443359,-0.002441406,0.937988281
-0.434326172,-0.006103516,0.940185547
-0.429931641,-0.009277344,0.938720703
-0.426269531,-0.008056641,0.938232422
-0.434570313,-0.002197266,0.937744141
-0.434082031,-0.004882813,0.938720703
-0.422363281,-0.004150391,0.937744141
-0.428955078,-0.002685547,0.937255859
-0.431396484,-0.004638672,0.935546875
-0.429931641,-0.004394531,0.937744141
-0.430175781,-0.006835938,0.938964844
-0.431640625,-0.007324219,0.940185547
-0.429931641,-0.001464844,0.936523438
-0.429443359,-0.002929688,0.935546875
-0.431152344,-0.003173828,0.94140625
-0.432373047,-0.003173828,0.940673828
-0.432617188,-0.003173828,0.943603516
-0.433105469,-0.00390625,0.938232422
-0.434082031,-0.000976563,0.936035156
-0.428710938,-0.005371094,0.944335938
-0.431640625,-0.007568359,0.946533203
-0.427734375,-0.004150391,0.941650391
-0.432373047,-0.005126953,0.940429688
-0.428955078,0.000244141,0.943115234
-0.425537109,-0.005371094,0.945068359
-0.4296875,-0.00390625,0.941894531
-0.424804688,-0.005615234,0.944091797
-0.429199219,-0.005371094,0.946289063
-0.430419922,-0.006103516,0.941650391
-0.432861328,-0.000244141,0.94140625
-0.435791016,-0.003173828,0.940917969
-0.429199219,0.002929688,0.942138672
-0.422607422,-0.002685547,0.941650391
-0.427978516,-0.00390625,0.940185547
-0.430664063,-0.001464844,0.940917969
-0.433837891,-0.00390625,0.937744141
-0.436279297,-0.005371094,0.939697266
